,is_delayed
0,0
1,1
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,0
15,0
16,0
17,1
18,1
19,1
20,1
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,0
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,0
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,1
127,1
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,1
174,0
175,1
176,0
177,0
178,1
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,1
204,0
205,1
206,1
207,0
208,1
209,0
210,1
211,0
212,1
213,1
214,0
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,0
226,1
227,1
228,0
229,0
230,1
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,0
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,0
294,1
295,0
296,1
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,1
312,0
313,1
314,0
315,0
316,0
317,1
318,1
319,0
320,1
321,1
322,1
323,0
324,0
325,1
326,0
327,1
328,1
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,1
349,0
350,1
351,1
352,0
353,1
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,1
363,0
364,0
365,0
366,1
367,1
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,1
395,0
396,0
397,1
398,0
399,0
400,1
401,0
402,1
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,0
432,1
433,0
434,0
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,1
467,0
468,0
469,0
470,1
471,0
472,0
473,1
474,0
475,1
476,1
477,1
478,0
479,1
480,1
481,0
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,1
499,0
500,0
501,0
502,0
503,1
504,0
505,1
506,0
507,0
508,0
509,1
510,0
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,0
527,1
528,1
529,1
530,1
531,1
532,0
533,0
534,0
535,1
536,1
537,1
538,1
539,1
540,0
541,0
542,0
543,1
544,0
545,1
546,1
547,0
548,0
549,0
550,0
551,1
552,0
553,0
554,1
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,1
563,1
564,1
565,0
566,0
567,0
568,0
569,1
570,1
571,0
572,0
573,0
574,0
575,1
576,0
577,1
578,0
579,1
580,0
581,1
582,0
583,0
584,1
585,1
586,0
587,1
588,1
589,0
590,0
591,1
592,0
593,0
594,1
595,1
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,0
604,0
605,1
606,1
607,1
608,0
609,0
610,1
611,0
612,0
613,1
614,1
615,0
616,1
617,0
618,1
619,1
620,0
621,1
622,0
623,0
624,1
625,0
626,1
627,1
628,1
629,1
630,0
631,1
632,1
633,1
634,1
635,1
636,0
637,0
638,1
639,0
640,0
641,0
642,1
643,0
644,0
645,1
646,1
647,0
648,1
649,0
650,1
651,0
652,0
653,0
654,1
655,1
656,0
657,0
658,1
659,1
660,0
661,0
662,1
663,0
664,1
665,1
666,0
667,0
668,0
669,0
670,1
671,1
672,1
673,0
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,1
682,0
683,0
684,0
685,1
686,1
687,1
688,0
689,1
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,1
698,0
699,0
700,0
701,1
702,1
703,1
704,1
705,1
706,0
707,0
708,1
709,1
710,0
711,0
712,1
713,0
714,0
715,0
716,0
717,1
718,1
719,1
720,0
721,0
722,0
723,0
724,0
725,0
726,1
727,0
728,0
729,1
730,0
731,0
732,0
733,0
734,0
735,1
736,0
737,0
738,0
739,1
740,0
741,1
742,1
743,0
744,1
745,1
746,0
747,0
748,0
749,0
750,1
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,1
759,0
760,1
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,0
770,0
771,1
772,0
773,0
774,1
775,1
776,0
777,1
778,0
779,0
780,0
781,1
782,1
783,0
784,0
785,0
786,1
787,1
788,0
789,1
790,0
791,1
792,0
793,1
794,0
795,1
796,1
797,1
798,1
799,0
800,0
801,0
802,0
803,1
804,0
805,0
806,0
807,0
808,0
809,1
810,1
811,0
812,1
813,1
814,0
815,0
816,0
817,0
818,0
819,0
820,1
821,0
822,1
823,1
824,1
825,0
826,1
827,1
828,1
829,0
830,1
831,0
832,0
833,1
834,0
835,1
836,1
837,0
838,1
839,1
840,1
841,0
842,1
843,0
844,1
845,1
846,1
847,1
848,1
849,0
850,0
851,1
852,0
853,0
854,0
855,0
856,1
857,0
858,1
859,1
860,0
861,0
862,0
863,0
864,1
865,0
866,0
867,0
868,0
869,0
870,1
871,0
872,0
873,0
874,1
875,0
876,0
877,0
878,1
879,1
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,1
889,0
890,1
891,1
892,1
893,1
894,0
895,1
896,1
897,1
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,1
907,1
908,0
909,0
910,0
911,0
912,1
913,0
914,0
915,1
916,0
917,0
918,0
919,1
920,1
921,0
922,1
923,0
924,1
925,1
926,0
927,0
928,0
929,0
930,0
931,0
932,1
933,1
934,0
935,0
936,0
937,0
938,0
939,0
940,1
941,0
942,1
943,1
944,0
945,1
946,1
947,1
948,0
949,0
950,0
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,1
959,1
960,1
961,0
962,0
963,0
964,1
965,1
966,0
967,0
968,1
969,1
970,1
971,0
972,1
973,1
974,0
975,1
976,0
977,1
978,0
979,0
980,1
981,0
982,1
983,0
984,0
985,1
986,0
987,0
988,1
989,0
990,0
991,0
992,1
993,1
994,1
995,0
996,1
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,0
1013,1
1014,0
1015,0
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,0
1024,0
1025,0
1026,1
1027,0
1028,0
1029,1
1030,1
1031,0
1032,0
1033,1
1034,0
1035,0
1036,0
1037,1
1038,0
1039,1
1040,1
1041,0
1042,1
1043,0
1044,1
1045,0
1046,0
1047,1
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
