id,is_delayed
0,0
2,1
4,1
7,0
8,0
9,0
10,1
12,0
14,1
16,1
21,1
22,0
23,1
24,1
27,0
28,0
29,0
31,1
33,1
35,1
37,1
38,0
39,1
44,1
48,0
51,1
53,0
54,0
60,1
61,1
63,0
64,1
66,0
67,1
71,1
72,1
73,0
74,1
78,1
79,0
80,0
83,0
85,1
87,0
88,0
97,1
98,0
100,0
104,0
105,1
107,1
108,0
110,0
112,0
114,0
115,0
117,0
118,1
122,0
123,0
124,0
126,1
127,0
129,1
130,1
131,0
134,0
135,0
136,0
137,1
138,1
140,1
142,1
144,0
145,1
146,0
147,1
149,1
150,1
151,0
152,1
155,1
156,1
163,0
165,0
166,0
167,1
172,1
176,1
177,1
178,1
181,1
183,1
185,0
188,1
189,1
192,0
195,0
200,1
203,1
205,0
207,1
208,0
211,0
212,1
215,0
225,1
227,0
229,1
230,0
231,0
232,0
240,1
244,0
246,0
249,0
251,0
252,0
254,0
255,0
258,1
263,0
264,0
265,1
267,0
269,0
270,1
272,1
273,0
277,1
278,0
279,1
281,0
286,1
288,1
289,1
291,1
294,1
295,1
296,1
300,1
303,0
305,1
308,1
310,0
311,0
312,0
313,1
315,0
316,1
317,1
318,1
319,0
320,1
321,0
329,0
330,0
332,1
334,1
336,0
339,0
340,1
342,0
344,0
346,0
351,1
352,0
353,0
355,0
356,0
358,1
359,1
363,0
365,1
367,0
368,1
370,0
371,0
372,1
374,0
375,1
376,0
380,0
384,0
385,0
386,0
388,0
389,0
390,1
393,0
394,0
395,0
397,0
398,1
399,1
400,1
401,0
402,0
404,0
407,1
408,1
412,0
415,0
417,1
421,0
422,1
423,1
425,0
426,1
427,0
428,1
431,0
432,1
434,1
435,0
444,0
445,1
446,0
447,1
449,0
451,0
452,0
459,1
465,0
471,1
474,0
480,1
482,1
483,0
484,0
486,1
487,0
488,1
491,1
493,0
495,1
496,1
499,1
506,1
510,0
511,1
512,0
514,0
517,0
520,0
521,0
525,0
526,1
528,1
529,0
530,0
531,0
533,1
535,1
537,0
539,0
540,1
541,0
542,0
544,0
545,1
546,0
547,0
548,0
549,1
552,1
553,0
554,0
557,0
560,0
561,1
563,0
564,1
567,1
569,0
574,1
576,0
577,0
584,0
586,1
588,0
592,1
596,1
598,0
599,0
600,1
606,1
607,1
608,1
613,1
614,1
615,1
616,0
618,0
619,1
620,0
621,1
623,0
625,1
626,1
627,0
629,1
631,0
636,1
637,0
638,0
640,0
641,0
642,1
643,0
646,0
649,1
650,0
652,1
653,0
656,0
659,0
660,1
661,1
662,0
664,1
667,1
669,1
672,0
673,0
674,1
676,0
678,1
679,1
682,0
684,0
685,0
687,0
690,0
691,0
694,1
695,1
698,0
699,0
700,0
703,0
704,0
707,0
708,1
709,1
710,1
714,0
715,0
719,1
720,0
723,1
724,1
725,0
726,1
729,0
730,0
731,0
732,0
736,0
738,1
740,0
742,0
747,1
749,0
754,0
755,0
756,1
761,1
762,0
763,0
767,0
772,0
774,0
775,0
778,0
780,0
786,1
787,1
788,1
789,1
790,1
791,0
792,1
793,0
795,0
798,0
799,1
804,0
807,0
810,1
811,0
812,0
820,1
825,0
827,1
828,0
829,0
830,1
831,0
834,0
835,1
837,0
839,1
840,1
842,1
844,0
845,0
846,1
848,1
850,1
851,0
852,1
855,0
857,0
860,0
862,1
863,0
868,0
871,0
873,0
874,1
875,0
876,0
878,0
879,0
881,1
882,0
884,0
886,0
889,0
892,1
893,0
896,1
899,0
900,0
901,0
904,1
905,1
906,1
907,1
908,1
911,1
912,1
913,0
914,0
916,0
917,0
921,0
923,0
926,0
931,0
932,0
933,1
934,0
938,0
940,0
942,0
945,0
946,1
947,0
948,0
950,0
951,0
952,1
953,0
954,0
956,1
957,0
958,0
959,0
961,1
964,0
966,0
967,1
969,0
971,1
972,1
974,1
976,0
977,1
978,1
979,0
981,1
983,1
984,0
985,1
986,1
987,1
988,1
990,0
991,0
996,0
997,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,1
1005,0
1006,0
1007,0
1009,0
1016,1
1017,0
1021,1
1023,0
1025,0
1027,0
1029,1
1031,0
1032,1
1035,0
1038,0
1039,0
1041,1
1044,0
1045,1
1046,0
1047,0
1049,0
1051,0
1053,1
1054,0
1055,0
1056,0
1059,0
1060,1
1062,1
